user_input,reference_contexts,reference,synthesizer_name
How did William the Conqueror's church reform efforts impact the leadership of the English church and what was his ultimate authority over the Norman church confirmed?,"['<1-hop>\n\nChurch affairs\nWhile at Winchester in 1070, William met with three papal legates\xa0– John Minutus, Peter, and Ermenfrid of Sion\xa0– who had been sent by the pope. The legates ceremonially crowned William during the Easter court. The historian David Bates sees this coronation as the ceremonial papal ""seal of approval"" for William\'s conquest. The legates and the king then held a series of ecclesiastical councils dedicated to reforming and reorganising the English church. Stigand and his brother, Æthelmær, the Bishop of Elmham, were deposed from their bishoprics. Some of the native abbots were also deposed, both at the council held near Easter and at a further one near Whitsun. The Whitsun council saw the appointment of Lanfranc as the new Archbishop of Canterbury, and Thomas of Bayeux as the new Archbishop of York, to replace Ealdred, who had died in September 1069. William\'s half-brother Odo perhaps expected to be appointed to Canterbury, but William probably did not wish to give that much power to a family member. Another reason for the appointment may have been pressure from the papacy to appoint Lanfranc. Norman clergy were appointed to replace the deposed bishops and abbots, and at the end of the process, only native English bishops remained in office, along with several continental prelates appointed by Edward the Confessor. In 1070 William also founded Battle Abbey, a new monastery at the site of the Battle of Hastings, partly as a penance for the deaths in the battle and partly as a memorial to the dead. At an ecclesiastical council held in Lillebonne in 1080, he was confirmed in his ultimate authority over the Norman church.', '<2-hop>\n\nFamily\nAlfred was  the youngest son of Æthelwulf, king of Wessex, and his wife Osburh. According to his biographer, Asser, writing in 893, ""In the year of our Lord\'s Incarnation 849 Alfred, King of the Anglo-Saxons"", was born at the royal estate called Wantage, in the district known as Berkshire (""which is so called from Berroc Wood, where the box tree grows very abundantly""). This date has been accepted by the editors of Asser\'s biography, Simon Keynes and Michael Lapidge, and by other historians such as David Dumville, Justin Pollard and Richard Huscroft. West Saxon genealogical lists state that Alfred was 23 when he became king in April 871, implying that he was born between April 847 and April 848. This dating is adopted in the biography of Alfred by Alfred Smyth, who regards Asser\'s biography as fraudulent, an allegation which is rejected by other historians. Richard Abels in his biography discusses both sources but does not decide between them and dates Alfred\'s birth as 847/849, while Patrick Wormald in his Oxford Dictionary of National Biography article dates it 848/849. Berkshire had been historically disputed between Wessex and the midland kingdom of Mercia, and as late as 844, a charter showed that it was part of Mercia, but Alfred\'s birth in the county is evidence that, by the late 840s, control had passed to Wessex.']","William the Conqueror's church reform efforts led to the deposition of several native abbots and bishops, including Stigand and his brother Æthelmær. At an ecclesiastical council held in 1080, he was confirmed in his ultimate authority over the Norman church.",multi_hop_abstract_query_synthesizer
"Why did William order the arrest of his half-brother Odo, and what were Odo's aspirations?","['<1-hop>\n\nHe was the youngest of six children. His eldest brother, Æthelstan, was old enough to be appointed sub-king of Kent in 839, almost 10 years before Alfred was born. He died in the early 850s. Alfred\'s next three brothers were successively kings of Wessex. Æthelbald (858–860) and Æthelberht (860–865) were also much older than Alfred, but Æthelred (865–871) was only a year or two older. Alfred\'s only known sister, Æthelswith, married Burgred, king of Mercia in 853. Most historians think that Osburh was the mother of all Æthelwulf\'s children, but some suggest that the older ones were born to an unrecorded first wife. Osburh was descended from the rulers of the Isle of Wight. She was described by Asser as ""a most religious woman, noble in character and noble by birth"". She had died by 856 when Æthelwulf married Judith, daughter of Charles the Bald, king of West Francia.\nIn 868, Alfred married Ealhswith, daughter of the Mercian nobleman Æthelred Mucel, ealdorman of the Gaini, and his wife Eadburh, who was of royal Mercian descent. Their children were Æthelflæd, who married Æthelred, Lord of the Mercians; Edward the Elder, Alfred\'s successor as king; Æthelgifu, abbess of Shaftesbury; Ælfthryth, who married Baldwin, count of Flanders; and Æthelweard.', ""<2-hop>\n\nLast years\nSources for William's actions between 1082 and 1084 are meagre. According to the historian David Bates, this probably means that little of note happened, and that because William was on the continent, there was nothing for the Anglo-Saxon Chronicle to record. In 1082, William ordered the arrest of his half-brother Odo. The exact reasons are unclear, as no contemporary author recorded what caused the quarrel between the half-brothers. Orderic Vitalis later recorded that Odo had aspirations to become pope and that Odo had attempted to persuade some of William's vassals to join Odo in an invasion of southern Italy. This would have been considered tampering with the king's authority over his vassals, which William would not have tolerated. Although Odo remained in confinement for the rest of William's reign, his lands were not confiscated. In 1083, William's son Robert rebelled once more with support from the French king. A further blow was the death of Queen Matilda on 2 November 1083. William was always described as close to his wife, and her death would have added to his problems.\nMaine continued to be difficult, with a rebellion by Hubert de Beaumont-au-Maine, probably in 1084. Hubert was besieged in his castle at Sainte-Suzanne by William's forces for at least two years, but he eventually made peace with the king and was restored to favour. William's movements during 1084 and 1085 are unclear\xa0– he was in Normandy at Easter 1084 but may have been in England before then to collect the danegeld assessed that year for the defence of England against an invasion by King Cnut IV of Denmark. Although English and Norman forces remained on alert throughout 1085 and into 1086, the invasion threat was ended by Cnut's death in July 1086.""]","William ordered the arrest of his half-brother Odo because sources suggest that Odo had aspirations to become pope and attempted to persuade some of William's vassals to join him in an invasion of southern Italy. This would have been considered tampering with the king's authority over his vassals, which William would not have tolerated.",multi_hop_abstract_query_synthesizer
How does Boethius's Consolation of Philosophy reflect King Alfred's philosophy of kingship according to the text?,"['<1-hop>\n\nBoethius\'s Consolation of Philosophy was the most popular philosophical handbook of the Middle Ages. Unlike the translation of the Pastoral Care, the Alfredian text deals very freely with the original and, though the late Dr. G. Schepss showed that many of the additions to the text are to be traced not to the translator himself but to the glosses and commentaries which he used, still there is much in the work which is distinctive to the translation and has been taken to reflect philosophies of kingship in Alfred\'s milieu. It is in the Boethius that the oft-quoted sentence occurs: ""To speak briefly: I desired to live worthily as long as I lived, and after my life to leave to them that should come after, my memory in good works."" The book has come down to us in two manuscripts only. In one of these the writing is prose, in the other a combination of prose and alliterating verse. The latter manuscript was severely damaged in the 18th and 19th centuries.', '<2-hop>\n\nLegal reform\nIn the late 880s or early 890s, Alfred issued a long domboc or law code consisting of his own laws, followed by a code issued by his late seventh-century predecessor King Ine of Wessex. Together these laws are arranged into 120 chapters. In his introduction Alfred explains that he gathered together the laws he found in many ""synod-books"" and ""ordered to be written many of the ones that our forefathers observed—those that pleased me; and many of the ones that did not please me, I rejected with the advice of my councillors, and commanded them to be observed in a different way"".\nAlfred singled out in particular the laws that he ""found in the days of Ine, my kinsman, or Offa, king of the Mercians, or King Æthelberht of Kent who first among the English people received baptism"". He appended, rather than integrated, the laws of Ine into his code and although he included, as had Æthelbert, a scale of payments in compensation for injuries to various body parts, the two injury tariffs are not aligned. Offa is not known to have issued a law code, leading historian Patrick Wormald to speculate that Alfred had in mind the legatine capitulary of 786 that was presented to Offa by the papal legate George of Ostia.\nAbout a fifth of the law code is taken up by Alfred\'s introduction which includes translations into English of the Ten Commandments, a few chapters from the Book of Exodus, and the Apostolic Letter from the Acts of the Apostles (15:23–29). The introduction may best be understood as Alfred\'s meditation upon the meaning of Christian law. It traces the continuity between God\'s gift of law to Moses to Alfred\'s own issuance of law to the West Saxon people. By doing so, it linked the holy past to the historical present and represented Alfred\'s law-giving as a type of divine legislation.']","Boethius's Consolation of Philosophy reflects King Alfred's philosophy of kingship in the oft-quoted sentence where it states: 'To speak briefly: I desired to live worthily as long as I lived, and after my life to leave to them that should come after, my memory in good works.' This sentence is taken to reflect the philosophies of kingship in Alfred's milieu.",multi_hop_abstract_query_synthesizer
What did Alfred aim to achieve by promoting education in English and translating books into the language?,"['<1-hop>\n\nBoethius\'s Consolation of Philosophy was the most popular philosophical handbook of the Middle Ages. Unlike the translation of the Pastoral Care, the Alfredian text deals very freely with the original and, though the late Dr. G. Schepss showed that many of the additions to the text are to be traced not to the translator himself but to the glosses and commentaries which he used, still there is much in the work which is distinctive to the translation and has been taken to reflect philosophies of kingship in Alfred\'s milieu. It is in the Boethius that the oft-quoted sentence occurs: ""To speak briefly: I desired to live worthily as long as I lived, and after my life to leave to them that should come after, my memory in good works."" The book has come down to us in two manuscripts only. In one of these the writing is prose, in the other a combination of prose and alliterating verse. The latter manuscript was severely damaged in the 18th and 19th centuries.', '<2-hop>\n\nAdvocacy of education in English\nAlfred\'s educational ambitions seem to have extended beyond the establishment of a court school. Believing that without Christian wisdom there can be neither prosperity nor success in war, Alfred aimed ""to set to learning (as long as they are not useful for some other employment) all the free-born young men now in England who have the means to apply themselves to it"". Conscious of the decay of Latin literacy in his realm, Alfred proposed that primary education be taught in English, with those wishing to advance to holy orders to continue their studies in Latin.\nThere were few ""books of wisdom"" written in English. Alfred sought to remedy this through an ambitious court-centred programme of translating into English the books he deemed ""most necessary for all men to know"". It is unknown when Alfred launched this programme, but it may have been during the 880s when Wessex was enjoying a respite from Viking attacks. Alfred was, until recently, often considered to have been the author of many of the translations, but this is now considered doubtful in almost all cases. Scholars more often refer to translations as ""Alfredian"", indicating that they probably had something to do with his patronage, but are unlikely to be his own work.']","Alfred aimed to promote education in English by teaching primary education in the language, with those wishing to advance to holy orders continuing their studies in Latin. He also sought to translate books he deemed 'most necessary for all men to know' into English through an ambitious court-centred programme, aiming to remedy the decay of Latin literacy in his realm.",multi_hop_abstract_query_synthesizer
"What significant appointment did William make in 1049 or 1050, and how did this relate to his march on London and the English surrender in 1066?","[""<1-hop>\n\nNorman administration\nNorman government under William was similar to the government that had existed under earlier dukes. It was a fairly simple administrative system, built around the ducal household, a group of officers including stewards, butlers, and marshals. The duke travelled constantly around the duchy, confirming charters and collecting revenues. Most of the income came from the ducal lands, as well as from tolls and a few taxes. This income was collected by the chamber, one of the household departments.\nWilliam cultivated close relations with the church in his duchy. He took part in church councils and made several appointments to the Norman episcopate, including the appointment of Maurilius as Archbishop of Rouen. Another important appointment was that of William's half-brother, Odo, as Bishop of Bayeux in 1049 or 1050. He also relied on the clergy for advice, including Lanfranc, a non-Norman who rose to become one of William's prominent ecclesiastical advisors from the late 1040s through the 1060s. William gave generously to the church; from 1035 to 1066, the Norman aristocracy founded at least twenty new monastic houses, including William's two monasteries in Caen, a remarkable expansion of religious life in the duchy."", ""<2-hop>\n\nMarch on London\nWilliam may have hoped the English would surrender following his victory, but they did not. Instead, some of the English clergy and magnates nominated Edgar the Ætheling as king, though their support for Edgar was only lukewarm. After waiting a short while, William secured Dover, parts of Kent, and Canterbury, while also sending a force to capture Winchester, where the royal treasury was. These captures secured William's rear areas and his line of retreat to Normandy, if that was needed. William then marched to Southwark, across the Thames from London, which he reached in late November. Next, he led his forces around the south and west of London, burning along the way. He finally crossed the Thames at Wallingford in early December. Stigand submitted to William there, and when the duke moved on to Berkhamsted soon afterwards, Edgar the Ætheling, Morcar, Edwin, and Ealdred also submitted. William then sent forces into London to construct a castle; he was crowned at Westminster Abbey on Christmas Day 1066.""]","In 1049 or 1050, William appointed Odo as Bishop of Bayeux. This appointment was significant as it strengthened Norman control over key territories. During his march on London in 1066, after the English did not surrender following his victory, William secured Dover and parts of Kent, including Canterbury. He then moved to Southwark across the Thames from London, burning along the way. Eventually, Stigand submitted at Wallingford, and Edgar the Ætheling, Morcar, Edwin, and Ealdred also surrendered when William moved on to Berkhamsted.",multi_hop_abstract_query_synthesizer
How did the Anglo-Saxons' defense strategy against Viking raids compare to the treatment of Alfred's graves during the English Reformation?,"['<1-hop>\n\nThe means by which the Anglo-Saxons marshalled forces to defend against marauders also left them vulnerable to the Vikings. It was the responsibility of the shire fyrd to deal with local raids. The king could call up the national militia to defend the kingdom but in the case of the Viking raids, problems with communication and raising supplies meant that the national militia could not be mustered quickly enough. It was only after the raids had begun that a call went out to landowners to gather their men for battle. Large regions could be devastated before the fyrd could assemble and arrive. Although the landowners were obliged to the king to supply these men when called, during the attacks in 878 many of them abandoned their king and collaborated with Guthrum.\nWith these lessons in mind Alfred capitalised on the relatively peaceful years following his victory at Edington with an ambitious restructuring of Saxon defences. On a trip to Rome Alfred had stayed with Charles the Bald, and it is possible that he may have studied how the Carolingian kings had dealt with Viking raiders. Learning from their experiences he was able to establish a system of taxation and defence for Wessex. There had been a system of fortifications in pre-Viking Mercia that may have been an influence. When the Viking raids resumed in 892 Alfred was better prepared to confront them with a standing, mobile field army, a network of garrisons and a small fleet of ships navigating the rivers and estuaries.', '<2-hop>\n\nMany churches were vandalised during the English Reformation, including Hyde. The Abbey was dissolved in 1538, the church and cloister were demolished and treated like a quarry, and the stones that made up the abbey were then re-used in local architecture. The stone graves housing Alfred and his family stayed underground, and the land returned to farming. These graves remained intact until 1788 when the site was acquired by the county for the construction of a town jail.\nBefore construction began, convicts who would later be imprisoned at the site were sent in to prepare the ground,  ready for building. While digging the foundation trenches, the convicts discovered the coffins of Alfred and his family. A local Roman Catholic priest, Dr Milner recounted this event:\nThus miscreants couch amidst the ashes of our Alfreds and Edwards; and where once religious silence and contemplation were only interrupted by the bell of regular observance, the chanting of devotion, now alone resound the clank of the captives chains and the oaths of the profligate! In digging for the foundation of that mournful edifice, at almost every stroke of the mattock or spade some ancient sepulchre was violated, the venerable contents of which were treated with marked indignity. On this occasion a great number of stone coffins were dug up, with a variety of other curious articles, such as chalices, patens, rings, buckles, the leather of shoes and boots, velvet and gold lace belonging to chasubles and other vestments; as also the crook, rims, and joints of a beautiful crosier double gilt.\nThe convicts broke the stone coffins into pieces. The lead, which lined the coffins, was sold for two guineas, and the bones within scattered around the area.']","The Anglo-Saxons' defense strategy against Viking raids involved using local militias, such as the shire fyrd, but they were often slow to respond due to communication and supply issues. In contrast, during the English Reformation, many churches including Hyde Abbey were vandalized; its stones were reused in local architecture after it was dissolved in 1538. The graves of Alfred and his family remained intact until 1788 when they were discovered by convicts preparing the ground for a town jail. These convicts broke the stone coffins into pieces, treating the contents with marked indignity.",multi_hop_abstract_query_synthesizer
"What happened to the stone graves of Alfred and his family during the construction of the town jail at Hyde, and how did a local Roman Catholic priest describe this event?","['<1-hop>\n\nMany churches were vandalised during the English Reformation, including Hyde. The Abbey was dissolved in 1538, the church and cloister were demolished and treated like a quarry, and the stones that made up the abbey were then re-used in local architecture. The stone graves housing Alfred and his family stayed underground, and the land returned to farming. These graves remained intact until 1788 when the site was acquired by the county for the construction of a town jail.\nBefore construction began, convicts who would later be imprisoned at the site were sent in to prepare the ground,  ready for building. While digging the foundation trenches, the convicts discovered the coffins of Alfred and his family. A local Roman Catholic priest, Dr Milner recounted this event:\nThus miscreants couch amidst the ashes of our Alfreds and Edwards; and where once religious silence and contemplation were only interrupted by the bell of regular observance, the chanting of devotion, now alone resound the clank of the captives chains and the oaths of the profligate! In digging for the foundation of that mournful edifice, at almost every stroke of the mattock or spade some ancient sepulchre was violated, the venerable contents of which were treated with marked indignity. On this occasion a great number of stone coffins were dug up, with a variety of other curious articles, such as chalices, patens, rings, buckles, the leather of shoes and boots, velvet and gold lace belonging to chasubles and other vestments; as also the crook, rims, and joints of a beautiful crosier double gilt.\nThe convicts broke the stone coffins into pieces. The lead, which lined the coffins, was sold for two guineas, and the bones within scattered around the area.', ""<2-hop>\n\nAppearance and character\nNo authentic portrait of William has been found; the contemporary depictions of him on the Bayeux Tapestry and on his seals and coins are conventional representations designed to assert his authority. There are some written descriptions of a burly and robust appearance, with a guttural voice. He enjoyed excellent health until old age, although he became quite fat in later life. He was strong enough to draw bows that others were unable to pull and had great stamina. Geoffrey Martel described him as without equal as a fighter and horseman. Examination of William's femur, the only bone to survive when the rest of his remains were destroyed, showed he was approximately 5\xa0feet 10\xa0inches (1.78\xa0m) tall.\nThere are records of two tutors for William during the late 1030s and early 1040s, but the extent of his literary education is unclear. He was not known as a patron of authors, and there is little evidence that he sponsored scholarships or intellectual activities. Orderic Vitalis records that William tried to learn to read Old English late in life, but he was unable to devote sufficient time to the effort and quickly gave up. William's main hobby appears to have been hunting. His marriage to Matilda appears to have been quite affectionate, and there are no signs that he was unfaithful to her\xa0– unusual in a medieval monarch. Medieval writers criticised William for his greed and cruelty, but his personal piety was universally praised by contemporaries.""]","The stone graves of Alfred and his family remained intact until 1788 when the site was acquired by the county for the construction of a town jail. Before construction began, convicts who would later be imprisoned at the site were sent in to prepare the ground, ready for building. While digging the foundation trenches, the convicts discovered the coffins of Alfred and his family. A local Roman Catholic priest, Dr Milner, recounted this event by saying: 'Thus miscreants couch amidst the ashes of our Alfreds and Edwards; and where once religious silence and contemplation were only interrupted by the bell of regular observance, the chanting of devotion, now alone resound the clank of the captives chains and the oaths of the profligate! In digging for the foundation of that mournful edifice, at almost every stroke of the mattock or spade some ancient sepulchre was violated, the venerable contents of which were treated with marked indignity.'",multi_hop_abstract_query_synthesizer
"How did King Alfred achieve victory over the Danish forces after they fortified themselves near London, and what were the subsequent actions taken against them?","['<1-hop>\n\nThe force under Hastein set out to march up the Thames Valley, possibly with the idea of assisting their friends in the west. They were met by a large force under the three great ealdormen of Mercia, Wiltshire and Somerset and forced to head off to the north-west, being finally overtaken and blockaded at Buttington. (Some identify this with Buttington Tump at the mouth of the River Wye, others with Buttington near Welshpool.) An attempt to break through the English lines failed. Those who escaped retreated to Shoebury. After collecting reinforcements, they made a sudden dash across England and occupied the ruined Roman walls of Chester. The English did not attempt a winter blockade but contented themselves with destroying all the supplies in the district.\nEarly in 894 or 895 lack of food obliged the Danes to retire once more to Essex. At the end of the year, the Danes drew their ships up the River Thames and the River Lea and fortified themselves twenty miles (32\xa0km) north of London. A frontal attack on the Danish lines failed but later in the year, Alfred saw a means of obstructing the river to prevent the egress of the Danish ships. The Danes realised that they were outmanoeuvred, struck off north-westwards and wintered at Cwatbridge near Bridgnorth. The next year, 896 (or 897), they gave up the struggle. Some retired to Northumbria, some to East Anglia. Those who had no connections in England returned to the continent.', '<2-hop>\n\nCounter-attack and victory\nIn the seventh week after Easter (4–10 May 878), around Whitsuntide, Alfred rode to Egbert\'s Stone east of Selwood where he was met by ""all the people of Somerset and of Wiltshire and of that part of Hampshire which is on this side of the sea (that is, west of Southampton Water), and they rejoiced to see him"". Alfred\'s emergence from his marshland stronghold was part of a carefully planned offensive that entailed raising the fyrds of three shires. This meant not only that the king had retained the loyalty of ealdormen, royal reeves and king\'s thegns, who were charged with levying and leading these forces, but that they had maintained their positions of authority in these localities well enough to answer his summons to war. Alfred\'s actions also suggest a system of scouts and messengers.\nAlfred won a decisive victory in the ensuing Battle of Edington which may have been fought near Westbury, Wiltshire. He then pursued the Danes to their stronghold at Chippenham and starved them into submission. One of the terms of the surrender was that Guthrum convert to Christianity. Three weeks later, the Danish king and 29 of his chief men were baptised at Alfred\'s court at Aller, near Athelney, with Alfred receiving Guthrum as his spiritual son.\nThe unbinding of the chrisom on the eighth day took place at a royal estate called Wedmore.']","After the Danes fortified themselves twenty miles north of London in 894 or 895, a frontal attack on their lines failed. However, later that year, Alfred saw an opportunity to obstruct the river to prevent the egress of Danish ships. Realizing they were outmanoeuvred, the Danes retreated northwest and wintered at Cwatbridge near Bridgnorth. In May 878, King Alfred rode to Egbert's Stone east of Selwood where he was met by forces from Somerset, Wiltshire, and Hampshire. He then won a decisive victory in the Battle of Edington, likely near Westbury, Wiltshire. Following this, Alfred pursued the Danes to their stronghold at Chippenham and starved them into submission. One of the terms of surrender required Guthrum to convert to Christianity, and three weeks later, Guthrum and 29 of his chief men were baptized at Alfred's court in Aller near Athelney.",multi_hop_abstract_query_synthesizer
What connection can be drawn between Alfred's educational reforms and his military strategies against the Vikings during his reign?,"[""<1-hop>\n\nIn 1071 William defeated the last rebellion of the north. Earl Edwin was betrayed by his own men and killed, while William built a causeway to subdue the Isle of Ely, where Hereward the Wake and Morcar were hiding. Hereward escaped, but Morcar was captured, deprived of his earldom, and imprisoned. In 1072 William invaded Scotland, defeating Malcolm, who had recently invaded the north of England. William and Malcolm agreed to peace by signing the Treaty of Abernethy, and Malcolm probably gave up his son Duncan as a hostage for the peace. Perhaps another stipulation of the treaty was the expulsion of Edgar the Ætheling from Malcolm's court. William then turned his attention to the continent, returning to Normandy in early 1073 to deal with the invasion of Maine by Fulk le Rechin, the Count of Anjou. With a swift campaign, William seized Le Mans from Fulk's forces, completing the campaign by 30 March 1073. This made William's power more secure in northern France, but the new count of Flanders accepted Edgar the Ætheling into his court. Robert also married his half-sister Bertha to King Philip I of France, who was opposed to Norman power."", '<2-hop>\n\nIt was at one time attached to a thin rod or stick based on the hollow socket at its base. The jewel certainly dates from Alfred\'s reign. Although its function is unknown, it has been often suggested that the jewel was one of the æstels – pointers for reading – that Alfred ordered sent to every bishopric accompanying a copy of his translation of the Pastoral Care. Each æstel was worth the princely sum of 50 mancuses which fits in well with the quality workmanship and expensive materials of the Alfred jewel.\nHistorian Richard Abels sees Alfred\'s educational and military reforms as complementary. Restoring religion and learning in Wessex, Abels contends, was to Alfred\'s mind as essential to the defence of his realm as the building of the burhs. As Alfred observed in the preface to his English translation of Gregory the Great\'s Pastoral Care, kings who fail to obey their divine duty to promote learning can expect earthly punishments to befall their people. The pursuit of wisdom, he assured his readers of the Boethius, was the surest path to power: ""Study wisdom, then, and, when you have learned it, condemn it not, for I tell you that by its means you may without fail attain to power, yea, even though not desiring it"".']","Alfred's educational reforms were seen as complementary to his military strategies. He believed that restoring religion and learning in Wessex was just as essential for defending his realm as building burhs (fortified towns). His pursuit of wisdom, as he stated in Boethius, was the surest path to power. This aligns with his efforts against the Vikings, where educational reforms might have contributed to a more literate and organized society capable of resisting invasions.",multi_hop_abstract_query_synthesizer
What happened during the French Wars of Religion that led to the disturbance of William the Conqueror's grave in 1087?,"[""<1-hop>\n\nDisorder followed William's death; everyone who had been at his deathbed left the body at Rouen and hurried off to attend to their own affairs. Eventually, the clergy of Rouen arranged to have the body sent to Caen, where William had desired to be buried in his foundation of the Abbaye-aux-Hommes. The funeral, attended by the bishops and abbots of Normandy as well as his son Henry, was disturbed by a citizen of Caen who alleged that his family had been illegally despoiled of the land on which the church was built. After hurried consultations, the allegation was shown to be true, and the man was compensated. A further indignity occurred when the corpse was lowered into the tomb. The corpse was too large for the space, and when attendants forced the body into the tomb it burst, spreading a disgusting odour throughout the church.\nWilliam's grave is marked by a marble slab with a Latin inscription dating from the early 19th century. The tomb has been disturbed several times since 1087, the first time in 1522 when the grave was opened on orders from the papacy. The intact body was restored to the tomb at that time, but in 1562, during the French Wars of Religion, the grave was reopened and the bones scattered and lost, with the exception of one thigh bone. This lone relic was reburied in 1642 with a new marker, which was replaced 100 years later with a more elaborate monument. This tomb was again destroyed during the French Revolution but was eventually replaced with the current ledger stone."", ""<2-hop>\n\nStatues\nPewsey\nA prominent statue of King Alfred the Great stands in the middle of Pewsey, where he was a landowner. It was unveiled in June 1913 to commemorate the coronation of King George V.\nSouthwark\nA statue of Alfred the Great located in Trinity Church Square, Southwark is considered to be the oldest outdoor statue in London, and part of it has been found to date to Roman times. The sculpture was thought to be medieval until 2021 conservation work. The lower half was then discovered to be Bath Stone and part of a colossal ancient sculpture dedicated to the goddess Minerva. It is typical of the 2nd Century, dating to around the reign of Hadrian. The lower older half is likely to have been carved by a continental craftsman used to working with British stone. The upper half dates to the late 18th or early 19th century, cast from artificial Coade stone to fit the lower portion.\nWantage\nA statue of Alfred the Great, situated in the Wantage market place, was sculpted by Count Gleichen, a relative of Queen Victoria, and unveiled on 14 July 1877 by the Prince and Princess of Wales. The statue was vandalised on New Year's Eve 2007, losing part of its right arm and axe. After the arm and axe were replaced, the statue was again vandalised on Christmas Eve 2008, losing its axe.\nWinchester\nA bronze statue of Alfred the Great stands at the eastern end of The Broadway, close to the site of Winchester's medieval East Gate. The statue was designed by Hamo Thornycroft, cast in bronze by Singer & Sons of Frome and erected in 1899 to mark one thousand years since Alfred's death. The statue is placed on a pedestal consisting of two immense blocks of grey Cornish granite.\nAlfred University, New York""]","During the French Wars of Religion, the grave of William the Conqueror was reopened and his bones were scattered and lost, with the exception of one thigh bone. This occurred in 1562.",multi_hop_abstract_query_synthesizer
WHY DID THE REBELS TARGET CAMULODUNUM AND LONDINIUM DURING BOUDICA'S UPRISING?,"['<1-hop>\n\nEvents leading to the revolt\nOn his death in AD 60/61, Prasutagus made his two daughters as well as the Roman Emperor Nero his heirs. The Romans ignored the will, and the kingdom was absorbed into the province of Britannia. Catus Decianus, procurator of Britain, was sent to secure the Iceni kingdom for Rome.\n""Have we not been robbed entirely of most of our possessions, and those the greatest, while for those that remain we pay taxes? Besides pasturing and tilling for them all our other possessions, do we not pay a yearly tribute for our very bodies? How much better it would be to have been sold to masters once for all than, possessing empty titles of freedom, to have to ransom ourselves every year! How much better to have been slain and to have perished than to go about with a tax on our heads!... Among the rest of mankind death frees even those who are in slavery to others; only in the case of the Romans do the very dead remain alive for their profit. Why is it that, though none of us has any money (how, indeed, could we, or where would we get it?), we are stripped and despoiled like a murderer\'s victims? And why should the Romans be expected to display moderation as time goes on, when they have behaved toward us in this fashion at the very outset, when all men show consideration even for the beasts they have newly captured?""', ""<2-hop>\n\nUprising\nAttacks on Camulodunum, Londinium and Verulamium\nThe first target of the rebels was Camulodunum (modern Colchester), a Roman colonia for retired soldiers. A Roman temple had been erected there to Claudius, at great expense to the local population. Combined with brutal treatment of the Britons by the veterans, this had caused resentment towards the Romans.\nThe Iceni and the Trinovantes comprised an army of 120,000 men. Dio claimed that Boudica called upon the British goddess of victory Andraste to aid her army. Once the revolt had begun, the only Roman troops available to provide assistance, aside from the few within the colony, were 200 auxiliaries located in London, who were not equipped to fight Boudica's army. Camulodunum was captured by the rebels; those inhabitants who survived the initial attack took refuge in the Temple of Claudius for two days before they were killed. Quintus Petillius Cerialis, then commanding the Legio IX Hispana, attempted to relieve Camulodunum, but suffered an overwhelming defeat. The infantry with him were all killed and only the commander and some of his cavalry escaped. After this disaster, Catus Decianus, whose behaviour had provoked the rebellion, fled abroad to Gaul.\nSuetonius was leading a campaign against the island of Mona, off the coast of North Wales. On hearing the news of the Iceni uprising, he left a garrison on Mona and returned to deal with Boudica. He moved quickly with a force of men through hostile territory to Londinium, which he reached before the arrival of Boudica's army but, outnumbered, he decided to abandon the town to the rebels, who burned it down after torturing and killing everyone who had remained. The rebels also sacked the municipium of Verulamium (modern St Albans), north-west of London, though the extent of its destruction is unclear.""]","The rebels targeted Camulodunum because it was a Roman colonia for retired soldiers and had erected a temple to Claudius at great expense, causing resentment among the Britons. They also sacked Londinium after Suetonius abandoned it, as he decided to retreat with his outnumbered forces before Boudica's army arrived.",multi_hop_abstract_query_synthesizer
